Holy Land Digital Image: Legacy Bib,Dublin Core:Title,File
290306, Untitled,"('222', '.tif')5155.jpg"
290444, Tombeau de la Vierge et grotte de l'agonie,"('235', '.tif')4131.jpg"
290444, Tombeau de la Vierge et grotte de l'agonie,"('235', '.tif')4272.jpg"
294047, A Greek Costume,"('289', '.tif')1952.jpg"
294185," Our waiter at Hospice, Tiberias","('321', '.tif')1486.jpg"
294192, Tomb of Lazarus,"('326', '.tif')1926.jpg"
287892, Moulin,"('398', '.tif')3965.jpg"
313160, Mur de Lamentations,"('481', '.tif')3094.jpg"
295558, La rue Chretienne à Jérusalem,"('504', '.tif')4696.jpg"
326106," A Greek Priest blessing the Village Children in Ramah, Palestine","('539', '.tif')671.jpg"
326106," A Greek Priest blessing the Village Children in Ramah, Palestine","('539', '.tif')1059.jpg"
326110, Throngs coming up to Jerusalem for sacrifice--outside the eastern wall,"('541', '.tif')1809.jpg"
323141," Syrian travelers, near Lydda, Palestine","('552', '.tif')1570.jpg"
323141," Syrian travelers, near Lydda, Palestine","('552', '.tif')1577.jpg"
323683," Christian street--motley life in the Holy City's bazaar district, Jerusalem","('565', '.tif')2678.jpg"
324250," Easter Procession of Greek Patriarch, entering Church of Holy Sepulchre, Jerusalem","('568', '.tif')1419.jpg"
324782," Samaritan High Priest and Pentateuch roll--Shechem, Palestine","('605', '.tif')406.jpg"
324782," Samaritan High Priest and Pentateuch roll--Shechem, Palestine","('605', '.tif')421.jpg"
324836, Women grinding at the mill--Palestine (St. Matt. xxiv; 41),"('606', '.tif')942.jpg"
324836, Women grinding at the mill--Palestine (St. Matt. xxiv; 41),"('606', '.tif')953.jpg"
324949," A Christian girl of Nazareth, Palestine","('620', '.tif')1130.jpg"
324949," A Christian girl of Nazareth, Palestine","('620', '.tif')1134.jpg"
278976, Jerusalem  :,"('670', '.tif')1937.jpg"
278976, Jerusalem  :,"('670', '.tif')2031.jpg"
278976, Jerusalem  :,"('670', '.tif')2078.jpg"
278976, Jerusalem  :,"('670', '.tif')2106.jpg"
278976, Jerusalem  :,"('670', '.tif')2358.jpg"
278976, Jerusalem  :,"('670', '.tif')2632.jpg"
278976, Jerusalem  :,"('670', '.tif')2647.jpg"
278976, Jerusalem  :,"('670', '.tif')2745.jpg"
278991, Jerusalem :,"('674', '.tif')2943.jpg"
279003, Jerusalem :,"('676', '.tif')3398.jpg"
279003, Jerusalem :,"('676', '.tif')3401.jpg"
279053, Group of Portraits :,"('678', '.tif')1973.jpg"
322376, XIIe station :,"('721', '.tif')3002.jpg"
332776, Jeune Femme de Bethléhem,"('1030', '.tif')3028.jpg"
